Timestamp	Longitude	Latitude	Operatorname	Node	CellID	LAC	NetworkTech	Level	Qual	SNR	CQI	LTERSSI	EventType	EventDetails	State
2023.11.24_23.08.15	-46.495354	-23.613347	TIM	70276	2	31139	5G	-82	-13	3.0	-	-	IRAT_CELL_RESELECTION_4G5G	724-03-31139-70276-2-3150-462:724-03-31139-70276-2-634080-462	I
2023.11.24_23.08.27	-46.496747	-23.614207	TIM	71531	202	31139	4G	-77	-7	12.0	-	-51	IRAT_CELL_RESELECTION_5G4G	724-03-31139-70276-2-634080-462:724-03-31139-71531-202-75-211	I
2023.11.24_23.08.37	-46.49838	-23.614154	TIM	70276	3	31139	5G	-90	-11	12.0	-	-	IRAT_CELL_RESELECTION_4G5G	724-03-31139-71531-202-75-211:724-03-31139-70276-3-3150-470	I
2023.11.24_23.08.46	-46.499917	-23.614445	TIM	70276	3	31139	5G	-96	-13	5.0	-	-	CELL_RESELECTION_5G5G	724-03-31139-70276-3-3150-470:724-03-31139-70276-3-634080-470	D
2023.11.24_23.09.07	-46.500718	-23.614586	TIM	67135	1	31139	4G	-88	-11	10.0	-	-55	IRAT_CELL_RESELECTION_5G4G	724-03-31139-70276-3-634080-470:724-03-31139-67135-1-3150-241	D
2023.11.24_23.09.28	-46.500718	-23.614586	TIM	67135	1	31139	5G	-96	-12	3.0	-	-	IRAT_CELL_RESELECTION_4G5G	724-03-31139-67135-1-3150-241:724-03-31139-67135-1-634080-241	I
2023.11.24_23.10.05	-46.503943	-23.612882	TIM	67138	222	31139	4G	-58	-9	3.0	-	-51	IRAT_HANDOVER_DATA_5G4G	724-03-31139-67135-1-634080-241:724-03-31139-67138-222-1276-249	D
2023.11.24_23.10.09	-46.504251	-23.612353	TIM	67138	222	31139	5G	-73	-11	21.0	-	-	IRAT_HANDOVER_DATA_4G5G	724-03-31139-67138-222-1276-249:724-03-31139-67138-222-634080-249	D
2023.11.24_23.10.15	-46.50426	-23.611501	TIM	67135	15	31139	5G	-80	-11	17.0	-	-	HANDOVER_DATA_5G5G	724-03-31139-67138-222-634080-249:724-03-31139-67135-15-9410-257	I
2023.11.24_23.10.26	-46.504329	-23.60991	TIM	67135	15	31139	5G	-92	-12	6.0	-	-	HANDOVER_DATA_5G5G	724-03-31139-67135-15-9410-257:724-03-31139-67135-15-634080-257	D
