Timestamp	Longitude	Latitude	Operatorname	NetworkTech	Level	Speed	Altitude	Filemark
2023.10.15_15.35.47	-46.48392	-23.61069	TIM	5G	-71	37	830	
2023.10.15_15.35.49	-46.48406	-23.61057	TIM	5G	-71	36	831	
2023.10.15_15.35.50	-46.48414	-23.61051	TIM	5G	-77	37	830	
2023.10.15_15.35.52	-46.48429	-23.61043	TIM	5G	-77	36	829	
2023.10.15_15.35.54	-46.48447	-23.61035	TIM	5G	-85	38	832	
2023.10.15_15.35.56	-46.48465	-23.61027	TIM	5G	-87	36	834	
2023.10.15_15.35.58	-46.48483	-23.61025	TIM	5G	-87	36	833	
2023.10.15_15.35.59	-46.48494	-23.61024	TIM	5G	-91	37	833	
2023.10.15_15.36.00	-46.48505	-23.61024	TIM	5G	-91	38	832	
2023.10.15_15.36.02	-46.48526	-23.61025	TIM	5G	-93	38	833	
2023.10.15_15.36.03	-46.48536	-23.61025	TIM	5G	-93	37	831	
2023.10.15_15.36.05	-46.48554	-23.61027	TIM	5G	-94	36	829	
2023.10.15_15.36.06	-46.48566	-23.61029	TIM	5G	-94	37	830	
2023.10.15_15.36.07	-46.48575	-23.61032	TIM	5G	-94	36	831	
2023.10.15_15.36.09	-46.48575	-23.61032	TIM	4G	-104	36	831	
2023.10.15_15.36.09	-46.48592	-23.61040	TIM	4G	-104	37	832	
2023.10.15_15.36.10	-46.48592	-23.61040	TIM	5G	-99	37	832	
2023.10.15_15.36.10	-46.48602	-23.61044	TIM	5G	-99	38	832	
2023.10.15_15.36.12	-46.48619	-23.61050	TIM	5G	-99	35	830	
2023.10.15_15.36.13	-46.48628	-23.61056	TIM	5G	-100	36	832	
2023.10.15_15.36.15	-46.48640	-23.61067	TIM	5G	-100	33	834	
2023.10.15_15.36.16	-46.48648	-23.61073	TIM	5G	-100	34	834	
2023.10.15_15.36.17	-46.48657	-23.61081	TIM	5G	-100	36	836	
2023.10.15_15.36.17	-46.48657	-23.61081	TIM	5G	-100	36	836	
2023.10.15_15.36.18	-46.48663	-23.61089	TIM	5G	-100	37	835	
2023.10.15_15.36.20	-46.48676	-23.61101	TIM	5G	-102	37	836	
2023.10.15_15.36.21	-46.48676	-23.61101	TIM	5G	-102	37	836	
2023.10.15_15.36.22	-46.48690	-23.61115	TIM	5G	-102	37	836	
